Label,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z
8762,223,223,247.467,12.523,0.371,510,517,1618,1639,56,61,513.184,1628.587,58.516
8763,1639,1639,1182.133,30.716,0.184,1718,1754,1614,1655,51,61,1737.422,1633.727,57.631
8764,396,396,375.965,14.580,0.334,511,519,1649,1670,54,61,513.902,1659.121,58.354
8765,4694,4694,2378.452,36.455,0.185,392,428,1647,1697,48,61,405.982,1678.118,56.591
8766,1359,1359,792.426,17.969,0.420,734,756,1678,1700,52,61,745.408,1690.200,57.650
8767,670,670,505.413,14.398,0.393,756,774,1715,1734,55,61,764.531,1724.846,58.485
8768,1454,1454,1294.376,35.646,0.110,1523,1544,1691,1751,55,61,1536.213,1719.559,58.697
8769,1159,1159,812.459,19.447,0.283,368,390,1740,1761,53,61,379.028,1750.768,58.111
8770,256,256,251.375,10.616,0.467,762,770,1775,1790,54,61,765.367,1780.988,57.496
8771,204,204,250.651,12.688,0.299,1067,1079,1784,1801,56,61,1073.721,1792.613,59.157
8772,1882,1882,1372.653,32.108,0.155,402,439,1781,1814,53,61,417.582,1796.418,58.172
8773,769,769,710.176,21.519,0.187,765,780,1793,1827,53,61,769.784,1807.713,58.255
8774,152,152,179.027,8.631,0.455,585,597,1822,1830,56,61,590.533,1825.178,58.901
8775,457,457,412.673,13.602,0.336,592,611,1825,1843,54,61,601.317,1833.385,58.606
8776,1250,1250,936.874,24.611,0.215,815,845,1828,1849,53,61,828.019,1837.320,58.368
8777,713,713,561.537,16.425,0.325,614,632,1834,1855,55,61,621.574,1843.213,58.459
8778,2536,2536,1492.866,27.028,0.219,1499,1528,1836,1874,50,61,1515.388,1855.818,57.727
8779,4463,4463,2322.970,35.633,0.180,1082,1129,1849,1892,50,61,1107.411,1869.914,57.266
8780,1662,1662,1234.490,25.746,0.166,1394,1422,1861,1896,53,61,1408.826,1881.731,58.412
8781,618,618,515.517,15.167,0.315,1364,1383,1897,1915,54,61,1373.558,1906.455,58.503
8782,1431,1431,1131.747,29.138,0.160,1928,1968,1929,1962,52,61,1945.145,1943.230,57.877
8783,231,231,294.019,11.668,0.237,1958,1971,1954,1969,58,61,1964.082,1960.900,59.329
8784,1,1,3.004,0.751,4.172,1962,1963,1961,1962,58,59,1962.000,1961.000,58.000
8785,646,646,491.200,14.419,0.398,1290,1308,1957,1970,51,61,1297.842,1963.401,56.372
8786,8,8,19.063,2.533,1.045,1965,1969,1963,1966,58,59,1966.500,1964.000,58.000
8787,505,505,383.952,12.872,0.510,306,325,2012,2023,54,61,313.501,2016.091,58.036
8791,102,102,172.020,11.016,0.231,766,772,18,36,55,61,768.931,25.010,58.775
